date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:14:08	12583/12583	---M--	200	added ('OK')	image/jpeg	etag:%22666533af-3127%22	https://prium.github.io/freya/v2.1.0/assets/img/logo/wsj.jpg	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/img/logo/wsj.jpg	(from https://prium.github.io/freya/v2.1.0/pages/recognition.html)
15:14:09	364343/364343	---M--	200	added ('OK')	image/jpeg	etag:%22666533af-58f37%22	https://prium.github.io/freya/v2.1.0/assets/img/404.jpg	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/img/404.jpg	(from https://prium.github.io/freya/v2.1.0/pages/404.html)
15:14:09	199877/199877	---M--	200	added ('OK')	image/jpeg	etag:%22666533af-30cc5%22	https://prium.github.io/freya/v2.1.0/assets/img/login.jpg	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/img/login.jpg	(from https://prium.github.io/freya/v2.1.0/pages/login.html)
15:14:10	200212/200212	---M--	200	added ('OK')	image/jpeg	etag:%22666533af-30e14%22	https://prium.github.io/freya/v2.1.0/assets/img/projects_header.jpg	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/img/projects_header.jpg	(from https://prium.github.io/freya/v2.1.0/projects/projects.html)
15:14:10	199597/199597	---M--	200	added ('OK')	image/jpeg	etag:%22666533af-30bad%22	https://prium.github.io/freya/v2.1.0/assets/img/contacts_header.jpg	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/img/contacts_header.jpg	(from https://prium.github.io/freya/v2.1.0/projects/projects.html)
15:14:10	216105/216105	---M--	200	added ('OK')	image/jpeg	etag:%22666533af-34c29%22	https://prium.github.io/freya/v2.1.0/assets/img/blog_header.jpg	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/img/blog_header.jpg	(from https://prium.github.io/freya/v2.1.0/blog/blog-list.html)
15:14:11	79555/79555	---M--	200	added ('OK')	image/jpeg	etag:%22666533af-136c3%22	https://prium.github.io/freya/v2.1.0/assets/img/blog_01.jpg	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/img/blog_01.jpg	(from https://prium.github.io/freya/v2.1.0/blog/blog-list.html)
15:14:12	491594/491594	---M--	200	added ('OK')	image/jpeg	etag:%22666533af-7804a%22	https://prium.github.io/freya/v2.1.0/assets/img/blog_02.jpg	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/img/blog_02.jpg	(from https://prium.github.io/freya/v2.1.0/blog/blog-list.html)
15:14:12	106713/106713	---M--	200	added ('OK')	image/jpeg	etag:%22666533af-1a0d9%22	https://prium.github.io/freya/v2.1.0/assets/img/blog_03.jpg	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/img/blog_03.jpg	(from https://prium.github.io/freya/v2.1.0/blog/blog-list.html)
15:14:13	106913/106913	---M--	200	added ('OK')	image/jpeg	etag:%22666533af-1a1a1%22	https://prium.github.io/freya/v2.1.0/assets/img/blog_04.jpg	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/img/blog_04.jpg	(from https://prium.github.io/freya/v2.1.0/blog/blog-list.html)
15:14:13	93115/93115	---M--	200	added ('OK')	image/jpeg	etag:%22666533af-16bbb%22	https://prium.github.io/freya/v2.1.0/assets/img/blog_05.jpg	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/img/blog_05.jpg	(from https://prium.github.io/freya/v2.1.0/blog/blog-list.html)
15:14:14	5400/5400	---M--	200	added ('OK')	image/jpeg	etag:%22666533af-1518%22	https://prium.github.io/freya/v2.1.0/assets/img/portrait-8.jpg	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/img/portrait-8.jpg	(from https://prium.github.io/freya/v2.1.0/blog/blog.html)
15:14:14	30170/30170	---M--	200	added ('OK')	image/jpeg	etag:%22666533af-75da%22	https://prium.github.io/freya/v2.1.0/assets/img/square-1.jpg	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/img/square-1.jpg	(from https://prium.github.io/freya/v2.1.0/blog/blog.html)
15:14:15	27452/27452	---M--	200	added ('OK')	image/jpeg	etag:%22666533af-6b3c%22	https://prium.github.io/freya/v2.1.0/assets/img/square-2.jpg	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/img/square-2.jpg	(from https://prium.github.io/freya/v2.1.0/blog/blog.html)
15:14:16	194244/194244	---M--	200	added ('OK')	image/jpeg	etag:%22666533af-2f6c4%22	https://prium.github.io/freya/v2.1.0/assets/img/elements_header.jpg	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/img/elements_header.jpg	(from https://prium.github.io/freya/v2.1.0/elements/buttons.html)
15:14:16	1390/1390	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22666533af-56e%22	https://prium.github.io/freya/v2.1.0/assets/img/icon-play.svg	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/img/icon-play.svg	(from https://prium.github.io/freya/v2.1.0/elements/buttons.html)
15:14:16	538/538	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22666533af-21a%22	https://prium.github.io/freya/v2.1.0/assets/img/icon-play-o.svg	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/img/icon-play-o.svg	(from https://prium.github.io/freya/v2.1.0/elements/buttons.html)
